 64 55 
4102 64 0 
1628 57 60 
326 69 70 
1562 57 0 
7161 69 0 
1042 66 73 
521 66 0 
3320 57 71 
2018 57 0 
846 62 66 
1693 62 0 
4167 85 71 
586 90 59 
130 67 73 
195 76 0 
977 79 0 
586 90 66 
0 90 0 
195 91 0 
977 62 0 
195 71 70 
0 75 71 
1107 63 60 
326 78 0 
1758 81 80 
195 63 0 
456 75 0 
1042 83 55 
781 71 0 
1693 80 70 
391 80 0 
195 85 0 
911 61 45 
326 58 59 
130 64 59 
391 56 0 
65 77 79 
1042 64 0 
651 61 0 
195 82 0 
326 75 0 
2865 58 67 
1953 58 0 
1562 63 56 
1628 78 92 
456 51 69 
65 63 0 
391 51 0 
1693 73 69 
0 67 68 
65 63 43 
195 83 71 
911 73 0 
195 75 0 
65 75 0 
1562 67 0 
326 70 84 
65 79 75 
130 61 0 
65 63 55 
2214 79 0 
130 63 0 
1888 82 51 
6510 82 0 
65 70 59 
1172 70 0 
130 88 66 
0 70 50 
65 65 46 
195 77 40 
260 80 0 
391 89 0 
0 65 0 
65 70 0 
1172 77 0 
2083 79 84 
586 62 60 
1823 67 0 
195 71 52 
2669 74 0 
195 58 78 
130 76 57 
260 57 0 
781 79 80 
521 75 87 
260 60 0 
1953 76 0 
260 79 0 
521 82 87 
781 70 0 
1628 86 78 
977 86 0 
326 84 85 
586 86 0 
1562 82 0 
130 63 83 
781 58 77 
195 70 74 
5208 73 74 
3451 63 0 
3255 64 91 
2148 58 0 
65 82 94 
911 58 84 
5404 68 81 
326 73 0 
3971 82 0 
846 80 0 
2799 67 0 
2474 61 0 
4753 89 93 
2604 65 59 
391 65 0 
130 89 0 
1172 77 0 
195 60 72 
0 84 80 
521 91 93 
130 86 75 
1367 84 0 
326 60 0 
260 81 0 
195 79 0 
4297 76 72 
391 88 93 
716 92 75 
456 92 0 
326 61 0 
1432 86 0 
2734 88 77 
1758 52 63 
1367 76 0 
4232 52 0 
781 87 85 
586 84 77 
195 46 68 
1628 78 0 
977 46 0 
195 84 0 
260 84 0 
14974 66 92 
716 47 81 
716 92 82 
130 75 75 
65 39 81 
521 46 0 
65 67 0 
977 79 0 
651 73 34 
456 81 0 
65 85 0 
65 79 0 
1107 85 0 
65 76 0 
5339 51 74 
0 78 83 
195 79 78 
651 87 0 
65 87 0 
1432 58 69 
391 58 5 
586 50 0 
716 51 0 
6120 84 85 
130 84 81 
326 75 48 
65 75 0 
846 72 0 
260 91 0 
1302 98 91 
651 98 83 
586 98 0 
1758 94 76 
65 94 72 
260 89 0 
716 93 82 
391 94 0 
260 90 101 
195 82 0 
1107 98 0 
195 93 84 
2083 92 0 
1237 93 60 
391 95 65 
2148 95 0 
1302 93 75 
521 93 0 
0 95 50 
911 95 0 
2279 93 61 
651 93 0 
391 95 62 
391 95 0 
651 93 64 
716 92 59 
260 93 0 
326 95 67 
0 100 70 
456 95 58 
0 92 62 
326 92 0 
521 93 0 
65 95 0 
586 93 0 
911 83 72 
1758 93 0 
2734 93 68 
2214 93 0 
2669 95 65 
2539 95 0 
1628 93 65 
2083 92 66 
1367 100 0 
391 93 60 
586 95 0 
260 93 90 
260 92 0 
716 95 69 
195 93 63 
326 95 0 
716 93 0 
0 86 56 
391 93 0 
716 95 72 
651 95 0 
260 74 0 
0 100 61 
586 79 51 
130 93 0 
260 95 67 
195 74 0 
2474 98 0 
781 95 68 
781 93 66 
1107 92 62 
0 95 0 
391 100 0 
326 69 56 
195 91 75 
326 62 53 
1237 93 0 
195 93 0 
1888 95 47 
521 99 69 
781 64 0 
2930 95 0 
3125 98 83 
260 97 0 
1172 62 0 
7161 95 79 
260 97 0 
2018 93 79 
260 97 0 
1953 93 0 
1367 95 83 
781 95 0 
391 93 73 
2995 93 0 
1432 95 69 
1432 94 8 
3125 94 0 
521 93 0 
521 81 74 
130 93 75 
0 93 0 
195 95 0 
65 55 70 
4167 95 86 
911 96 0 
651 54 0 
3190 100 95 
326 51 70 
326 91 0 
391 98 82 
521 57 0 
326 59 58 
1628 91 77 
0 93 0 
0 98 0 
1432 97 83 
195 90 73 
716 94 0 
521 94 0 
195 92 75 
260 92 0 
846 94 76 
716 82 72 
260 95 0 
456 90 0 
195 91 0 
326 52 80 
781 98 86 
391 56 71 
326 90 0 
260 59 64 
5990 54 0 
716 97 55 
260 56 0 
3385 54 59 
65 93 78 
1172 95 0 
521 91 0 
2474 93 79 
3060 56 69 
65 93 0 
1237 95 70 
1562 54 51 
4948 96 67 
1497 54 0 
1497 95 0 
4297 50 66 
0 57 69 
1562 93 0 
1107 54 0 
2734 50 0 
2734 60 93 
7812 88 102 
326 96 98 
2018 89 0 
260 62 0 
130 96 0 
4362 58 94 
0 82 89 
1432 70 57 
1432 72 0 
260 58 0 
977 53 24 
456 45 56 
391 84 0 
260 53 0 
195 48 0 
651 67 72 
260 52 67 
1562 67 0 
195 52 0 
4753 42 56 
65 30 37 
1042 39 0 
521 84 88 
3711 38 0 
586 88 85 
1042 83 0 
1497 88 0 
7227 82 109 
65 46 111 
3451 85 47 
65 70 0 
3581 82 0 
1562 85 0 
7878 85 95 
65 89 84 
586 37 80 
195 89 82 
9771 85 0 
586 37 0 
65 30 69 
391 89 75 
651 39 0 
0 89 0 
651 45 53 
0 45 0 
781 92 93 
4818 40 0 
1237 96 81 
456 47 91 
195 77 73 
130 93 0 
586 46 0 
781 47 0 
1107 92 89 
1302 94 0 
195 89 0 
4688 93 85 
130 76 81 
195 66 73 
2148 62 64 
716 64 0 
12956 91 88 
1042 63 0 
4232 68 0 
1562 92 0 
586 97 0 
977 52 0 
846 90 76 
65 56 67 
651 61 73 
0 83 78 
195 44 66 
65 92 87 
5018 83 76 
0 92 0 
911 86 0 
781 52 0 
12565 87 0 
6120 80 85 
1042 85 81 
326 80 73 
586 32 67 
3906 32 0 
6706 56 39 
65 82 0 
3711 44 0 
1172 78 77 
3125 56 27 
4688 56 0 
2734 81 88 
456 85 0 
260 68 84 
651 78 0 
1302 56 46 
977 73 72 
391 56 0 
391 73 0 
326 87 84 
586 65 24 
391 53 29 
1367 85 0 
130 66 0 
6771 65 51 
65 82 65 
65 86 63 
0 91 83 
326 72 59 
130 65 0 
326 86 48 
0 74 0 
130 88 0 
1172 77 55 
326 82 56 
195 84 0 
846 77 0 
0 60 0 
716 54 0 
326 92 67 
977 62 42 
260 87 69 
1562 84 0 
65 86 0 
260 94 79 
391 62 0 
3125 94 0 
846 87 36 
2018 63 48 
0 70 0 
1367 99 0 
3385 87 57 
65 75 38 
2344 75 0 
391 87 0 
1302 87 53 
716 87 0 
195 75 51 
2474 75 0 
1888 87 48 
456 75 0 
0 75 40 
1042 71 24 
2018 75 0 
2279 79 0 
1888 84 56 
651 75 0 
7096 84 48 
1432 84 0 
521 80 56 
4102 82 0 
1367 84 74 
10286 82 0 
3776 87 47 
1237 87 0 
2539 87 0 
24609 94 62 
781 75 83 
130 73 67 
651 66 50 
326 66 0 
0 74 0 
195 70 0 
977 78 0 
586 88 49 
391 63 58 
260 87 0 
456 90 68 
0 87 66 
326 63 0 
456 90 60 
2018 75 54 
195 70 0 
130 87 0 
65 60 56 
651 70 0 
195 92 78 
651 70 0 
651 95 0 
846 79 83 
130 60 0 
521 83 62 
1042 97 68 
326 94 0 
911 85 0 
1628 63 62 
260 99 0 
521 73 0 
456 66 0 
326 99 0 
521 88 65 
260 68 64 
0 83 73 
586 64 78 
391 87 53 
1497 82 52 
911 70 54 
195 85 0 
716 67 0 
521 82 0 
716 64 0 
977 92 0 
130 63 60 
1432 63 0 
0 75 88 
0 75 0 
391 63 68 
586 70 82 
4948 73 64 
130 71 0 
2018 70 0 
3971 87 84 
1823 87 0 
4492 70 95 
911 63 96 
456 78 0 
846 75 0 
65 80 0 
0 82 101 
260 72 87 
1042 65 85 
911 86 85 
456 70 0 
130 69 68 
781 67 0 
781 79 0 
2930 70 89 
781 82 54 
391 77 0 
195 77 0 
0 82 0 
456 77 88 
260 69 76 
65 72 73 
2474 72 0 
651 77 0 
1823 63 70 
0 69 0 
521 72 73 
13281 64 68 
1823 72 0 
1172 76 86 
130 67 70 
586 67 0 
130 79 78 
391 79 43 
65 82 0 
1107 77 0 
1172 76 0 
65 81 81 
911 63 0 
4492 84 70 
521 82 69 
8594 81 0 
130 82 0 
1432 70 77 
651 70 0 
260 62 61 
7487 62 0 
2279 86 86 
716 74 73 
6380 74 0 
6836 89 77 
391 70 58 
1042 84 0 
4036 89 0 
391 77 0 
11979 82 57 
130 67 35 
1888 67 0 
586 62 42 
326 67 49 
260 58 37 
65 55 40 
195 80 52 
130 58 0 
2083 72 0 
391 79 60 
391 74 0 
2148 62 0 
65 84 0 
521 64 59 
0 93 83 
1823 50 0 
456 69 66 
716 76 77 
3255 64 0 
4232 79 0 
1758 79 86 
4498 59 0 
4102 79 0 
1693 71 65 
4297 66 0 
1042 66 74 
1823 74 66 
456 71 0 
1823 78 0 
846 64 0 
3385 66 74 
1302 75 72 
586 66 0 
2409 75 0 
521 76 70 
130 56 69 
4232 56 0 
2930 64 69 
1107 71 74 
0 73 88 
1172 74 0 
1497 64 0 
3971 71 0 
195 73 69 
0 37 72 
130 73 0 
456 80 86 
391 44 76 
195 71 0 
1432 87 0 
130 74 0 
10547 76 0 
7552 82 90 
326 76 83 
1758 70 35 
521 75 68 
326 43 35 
586 73 0 
716 70 0 
195 34 0 
1172 77 64 
65 77 0 
391 82 0 
2409 49 0 
195 71 65 
130 54 63 
781 50 45 
130 69 41 
260 47 36 
456 71 0 
521 72 0 
846 57 0 
651 52 0 
456 57 50 
1888 45 50 
260 69 0 
651 47 0 
2148 50 52 
651 45 0 
651 62 50 
911 57 0 
391 62 0 
65 62 48 
456 58 55 
846 50 0 
586 53 47 
781 46 41 
651 46 41 
65 44 0 
716 58 0 
456 52 0 
